id,name,orig_name,longitude,latitude
128,NB Knapp St b/t Shore Pwy and Voorhies Ave,NB KNAPP ST. SHORE PWY - VOORHIES AVE,-73.9316058,40.587134250000005
129,164 St b/t 69 Av and 72 Av,SB 164 ST. 69 AV - 72 AV,-73.8051778,40.730780249999995
130,NB Bell Bv b/t Kingsbury Av and 73 Av,NB BELL BV KINGSBURYAV - 73 AV,-73.7572124,40.7384263
131,WB Jamaica Av b/t 179 Pl and 171 St,WB JAMAICA AV 179 PL- 171 ST,-73.7852657,40.70780485
132,EB 65 St b/t 15 Av and 17 Av,EB 65 ST. 15 AV - 17AV,-73.99479399999998,40.621916
133,Union Tpk b/t 214 St and Hollis Ct Bv,EB UNION TPK HOLLISCT BV - 214 ST,-73.76042425,40.73347405
134,20 Av b/t 52 St and 59 St,SB 20 AV. 52 ST - 59ST,-73.980241,40.621923949999996
135,10 Av b/t W 203 St and Dyckman St,SB 10 AV W203 ST - DYCKMAN ST,-73.92181925,40.860469699999996
136,NB Williams Av b/t Glenwood Rd and Will Pl,NB WILLIAMS AV GLENWOOD RD - WILL PL,-73.89416084999999,40.653507250000004
137,NB Page Av b/t Hylan Bv and Eastwood Av,NB PAGE AV. HYLAN BV- EASTWOOD AV,-74.2307902,40.51009035
138,EB Rockaway Bv b/t 101 Av and Woodhaven Bv,EB ROCKAWAY BV. 101AV- WOODHVN BV,-73.84833855,40.68163415000001
139,NB Flatbush Av b/t Troy Av and Alton Pl,NB FLATBUSH AV. TROYAV - ALTON PL,-73.93544975,40.621313
140,SB Springfield Bv b/t 91 Rd and 94 Av,SB SPRNGFLD BV. 91 RD - 94 AV,-73.7382007,40.72334669999999
141,NB Grand Concourse b/t E 168 St and E 170 St,NB GRAND CONCOURSE.E168 ST - E170 ST,-73.9152468,40.83726849999999
142,Northern Bv b/t 91 St and 95 St,EB NORTHERN BV 91 ST- 95 ST,-73.87505895,40.75664175
143,White Plains Rd b/t Seward Av and Patterson Av,SB WHITEPLAINS RD SEWARD AV - PATTERSON,-73.85703115,40.81671625
144,NB Nostrand Av b/t Ave P and Kings Hwy,NB NOSTRAND AV. AVEP-KINGS HWY,-73.94449775,40.61436524999999
145,Knapp St b/t Avenue V and Avenue X,SB KNAPP ST. AVE V -AVE X,-73.93348329999999,40.597132450000004
146,NB Broadway b/t W 184 St and W 189 St,NB BWAY W184 ST - W189 ST,-73.93404855,40.85372375
147,WB Flatlands Av b/t E 79 St and E 59 St,WB FLATLANDS AV. E79ST- E59 ST,-73.91679685,40.63323815
148,NB Rockaway Pkwy b/t Kings Hwy and Rutland Rd,NB ROCKAWAY PKY. KINGS HWY - RUTLND RD,-73.9217176,40.6626253
149,WB Travis Av b/t Nehring Av and Steinway Av,WB TRAVIS AV NEHRINGAV - STEINWAY AV,-74.15929125,40.59133905
150,Gun Hill Rd b/t Holland Av and Paulding Av,EB GUNHILL RD. HOLLND AV - PAULDNG AV,-73.8613891,40.87577215
151,NB Williamsbridge Rd b/t Lydig Av and Waring Av,NB WILLMSBRDG RD. LYDIG AV - WARING AV,-73.85646795,40.8582937
152,NB Coney Island Av at Kermit Pl,NB CONEY ISLAND AVE@ KERMIT PL,-73.9715064,40.6488298
153,WB Goethals Rd N at Jules Dr,WB GOETHALS RD N @ JULES DR,-74.1645396,40.6198977
154,EB Atlantic Ave at Essex St,EB ATLANTIC AVE @ ESSEX ST,-73.8828065,40.6784123
155,EB Seaview Ave at E 100 St,EB SEAVIEW AVE @ E 100TH ST,-73.8873052,40.6352644
156,NB Gerritsen Av at Devon Av,NB GERRITSEN AVE @ DEVON AVE,-73.9265366,40.5940985
157,WB Jamaica Av at 224 St,WB JAMAICA AVE @ 224TH ST,-73.7310286,40.7216519
158,NB McGuinness Bv at Nassau Ave,NB MCGUINNESS BLVD @NASSAU AVE,-73.948251,40.7246025
159,NB Bailey Av at W 193 St,NB BAILEY AVE @ W 193RD ST,-73.9068286,40.8708404
160,SB 188 St b/t Underhill Av and Horace Harding Expy,SB 188 ST UNDRHILL AV - HRCE HRDNG XPY,-73.78793655,40.743430950000004
161,NB Southern Bv at E 187 St,NB SOUTHERN BLVD @ E187TH ST,-73.88162810000001,40.8533783
162,NB 1 Av b/t E 92 St and E 100 St,NB 1 AV E92 ST. - E100 ST,-73.9447187,40.78325895
163,Marathon Pwy b/t Horace Harding Expy and 64 Av,NB MARATHN PKWY 64 AV - HORACE HRDG EXPY,-73.7300214,40.75776384999999
164,WB Flatlands Av b/t Berriman St and Jerome St,WB FLATLANDS AV. BERRIMAN ST- JEROME ST,-73.8748153,40.657621649999996
165,Merrick Bv b/t 116 Av and 111 Rd,SB MERRICK BV. 111 RD - 116 AV,-73.77877995,40.69110175
166,EB 48 Av b/t 37 St and 42 St,EB 48 AV 37 ST - 42ST,-73.92595589999999,40.740066150000004
167,EB 47 Av b/t 43 St and 49 St,EB 47 AV 43 ST - 49ST,-73.9191016,40.7411632
168,Francis Lewis Bv b/t 114 Rd and Linden Bv,NB FRNCS LWS BV. LINDEN BV - 114 RD,-73.74726570000001,40.698502149999996
169,Southern Bv b/t Baretto St and E 156 St,SB SOUTHRN BV. BARETTO ST - E156 ST,-73.89537185,40.81717905
170,EB E 149 St b/t Trinity Av and Prospect Av,EB E149 ST. TRINITYAV - PROSPECT AV,-73.90723489999999,40.8128594
171,NB 1 Av b/t E 117 St and E 124 St,NB 1 AV E117 ST. - E124 ST,-73.93335214999999,40.798832899999994
172,WB Linden Bv b/t Osborn St and E 98 St,WB LINDEN BV. OSBORNST - E 98 ST,-73.9079185,40.6547167
173,NB Katonah Av b/t E 235 St and E 240 St,NB KATONAH AV. E235ST - E240 ST,-73.8675129,40.8992951
